date,Live ESA,Live IS,Live JSA,Live Subtotal,Increment,Dormant ESA,Dormant IS,Dormant JSA,Dormant Subtotal,TOTAL
31/08/16,"5,054 ","8,568 ","82,858 ","96,480 ",,115 ,215 ,"13,262 ","13,592 ","110,072 "
01/09/16,"5,473 ","9,655 ","92,573 ","107,701 ","11,221 ",132 ,252 ,"14,422 ","14,806 ","122,507 "
02/09/16,"5,735 ","10,434 ","99,740 ","115,909 ","8,208 ",146 ,284 ,"15,522 ","15,952 ","131,861 "
05/09/16,"6,033 ","11,084 ","105,850 ","122,967 ","7,058 ",159 ,312 ,"16,434 ","16,905 ","139,872 "
06/09/16,"6,566 ","12,221 ","116,598 ","135,385 ","12,418 ",176 ,365 ,"17,920 ","18,461 ","153,846 "
07/09/16,"6,831 ","12,732 ","120,372 ","139,935 ","4,550 ",189 ,393 ,"18,534 ","19,116 ","159,051 "
08/09/16,"7,232 ","13,738 ","128,181 ","149,151 ","9,216 ",197 ,431 ,"19,637 ","20,265 ","169,416 "
09/09/16,"7,542 ","14,456 ","134,451 ","156,449 ","7,298 ",207 ,457 ,"20,768 ","21,432 ","177,881 "
12/09/16,"8,012 ","15,391 ","141,950 ","165,353 ","8,904 ",238 ,508 ,"22,312 ","23,058 ","188,411 "
13/09/16,"8,731 ","16,839 ","151,284 ","176,854 ","11,501 ",255 ,586 ,"24,348 ","25,189 ","202,043 "
14/09/16,"9,238 ","17,726 ","157,795 ","184,759 ","7,905 ",311 ,722 ,"26,256 ","27,289 ","212,048 "
15/09/16,"9,652 ","18,432 ","163,706 ","191,790 ","7,031 ",329 ,754 ,"27,322 ","28,405 ","220,195 "
19/09/16,"10,472 ","20,245 ","176,713 ","207,430 ","7,820 ",356 ,866 ,"30,492 ","31,714 ","239,144 "
22/09/16,"13,086 ","25,106 ","201,687 ","239,879 ","10,816 ",450 ,"1,205 ","36,698 ","38,353 ","278,232 "
26/09/16,"14,508 ","27,657 ","214,556 ","256,721 ","8,421 ",515 ,"1,360 ","40,241 ","42,116 ","298,837 "
28/09/16,"17,068 ","30,585 ","228,095 ","275,748 ","9,514 ",637 ,"1,582 ","44,707 ","46,926 ","322,674 "
03/10/16,"21,026 ","34,900 ","243,429 ","299,355 ","7,869 ",804 ,"1,856 ","50,447 ","53,107 ","352,462 "
04/10/16,"21,820 ","35,912 ","247,001 ","304,733 ","5,378 ",841 ,"1,952 ","52,255 ","55,048 ","359,781 "
05/10/16,"23,006 ","37,408 ","252,746 ","313,160 ","8,427 ",893 ,"2,054 ","54,728 ","57,675 ","370,835 "
10/10/16,"26,154 ","41,299 ","265,955 ","333,408 ","6,749 ","1,024 ","2,313 ","59,409 ","62,746 ","396,154 "
11/10/16,"27,806 ","43,071 ","271,422 ","342,299 ","8,891 ","1,096 ","2,451 ","62,028 ","65,575 ","407,874 "
12/10/16,"30,992 ","46,074 ","279,529 ","356,595 ","14,296 ","1,193 ","2,695 ","65,273 ","69,161 ","425,756 "
13/10/16,"33,122 ","48,078 ","284,939 ","366,139 ","9,544 ","1,271 ","2,927 ","67,381 ","71,579 ","437,718 "
17/10/16,"38,163 ","53,062 ","298,846 ","390,071 ","11,966 ","1,473 ","3,214 ","72,321 ","77,008 ","467,079 "
18/10/16,"41,215 ","55,477 ","304,229 ","400,921 ","10,850 ","1,581 ","3,393 ","75,204 ","80,178 ","481,099 "
19/10/16,"44,680 ","58,612 ","310,597 ","413,889 ","12,968 ","1,713 ","3,605 ","77,993 ","83,311 ","497,200 "
24/10/16,"56,943 ","72,931 ","331,914 ","461,788 ","15,966 ","2,092 ","4,147 ","86,727 ","92,966 ","554,754 "
25/10/16,"59,328 ","75,034 ","335,209 ","469,571 ","7,783 ","2,161 ","4,267 ","88,764 ","95,192 ","564,763 "
26/10/16,"63,273 ","79,138 ","341,565 ","483,976 ","14,405 ","2,284 ","4,490 ","91,960 ","98,734 ","582,710 "
27/10/16,"68,028 ","84,391 ","348,784 ","501,203 ","17,227 ","2,420 ","4,705 ","95,440 ","102,565 ","603,768 "
01/11/16,"80,945 ","96,265 ","366,880 ","544,090 ","14,296 ","2,770 ","5,335 ","104,760 ","112,865 ","656,955 "
03/11/16,"86,978 ","104,254 ","374,707 ","565,939 ","10,925 ","3,007 ","5,596 ","109,575 ","118,178 ","684,117 "
07/11/16,"96,594 ","113,339 ","386,779 ","596,712 ","15,387 ","3,384 ","6,229 ","116,776 ","126,389 ","723,101 "
08/11/16,"102,047 ","118,285 ","392,378 ","612,710 ","15,998 ","3,594 ","6,663 ","121,066 ","131,323 ","744,033 "
09/11/16,"107,686 ","122,862 ","397,554 ","628,102 ","15,392 ","3,784 ","6,999 ","124,766 ","135,549 ","763,651 "
11/11/16,"120,093 ","133,439 ","410,935 ","664,467 ","18,183 ","4,229 ","7,746 ","132,841 ","144,816 ","809,283 "
14/11/16,"124,459 ","138,060 ","416,950 ","679,469 ","15,002 ","4,372 ","7,977 ","135,729 ","148,078 ","827,547 "
15/11/16,"132,527 ","143,796 ","424,189 ","700,512 ","21,043 ","4,697 ","8,526 ","140,854 ","154,077 ","854,589 "
16/11/16,"140,781 ","149,651 ","431,834 ","722,266 ","21,754 ","5,018 ","9,114 ","145,391 ","159,523 ","881,789 "
18/11/16,"152,629 ","157,735 ","444,596 ","754,960 ","16,347 ","5,518 ","9,841 ","152,834 ","168,193 ","923,153 "
22/11/16,"159,030 ","161,381 ","449,153 ","769,564 ","7,302 ","5,824 ","10,312 ","158,202 ","174,338 ","943,902 "
23/11/16,"163,669 ","164,324 ","451,206 ","779,199 ","9,635 ","6,290 ","10,787 ","163,649 ","180,726 ","959,925 "
24/11/16,"165,890 ","165,916 ","452,519 ","784,325 ","5,126 ","6,523 ","11,014 ","166,187 ","183,724 ","968,049 "
25/11/16,"171,596 ","170,266 ","455,888 ","797,750 ","13,425 ","7,091 ","11,602 ","173,030 ","191,723 ","989,473 "
28/11/16,"176,261 ","171,730 ","456,306 ","804,297 ","6,547 ","7,214 ","11,738 ","174,969 ","193,921 ","998,218 "
30/11/16,"181,538 ","176,166 ","456,117 ","813,821 ","4,762 ","7,726 ","12,426 ","182,687 ","202,839 ","1,016,660 "
01/12/16,"185,634 ","178,760 ","459,699 ","824,093 ","10,272 ","8,195 ","12,997 ","188,521 ","209,713 ","1,033,806 "
02/12/16,"186,782 ","179,540 ","459,753 ","826,075 ","1,982 ","8,335 ","13,194 ","190,519 ","212,048 ","1,038,123 "
05/12/16,"192,570 ","182,223 ","461,090 ","835,883 ","9,808 ","8,691 ","13,591 ","195,044 ","217,326 ","1,053,209 "
06/12/16,"196,115 ","184,266 ","461,751 ","842,132 ","6,249 ","9,059 ","13,979 ","199,633 ","222,671 ","1,064,803 "